District,rtla-12,rtla-14,rtla-16,rtla-18,rtla-20,rtla-trend,r-margin-12,r-margin-14,r-margin-16,r-margin-18,r-margin-20,Inflection
State House 64,2.169742991,-13.29425541,-7.021205247,-6.997919051,2.265065202,0.648698078,0.758508159,1,0.508472747,0.502816092,0.457518728,53.28681412
State House 65,-13.60785714,-30.89032258,-15.37341134,-21.71263049,-7.882140565,2.062912524,1,1,0.585068067,0.526013887,1,37.01107679
State House 19,-34.41882068,-42.1815777,-22.13544792,-15.62670559,2.033536585,9.945958664,0.822789149,1,0.591875709,0.518836994,0.499436023,43.28658746
State House 14,-16.52698495,-28.03899845,-3.380628549,4.364278718,19.77859343,10.50144339,0.763099203,0.512182528,0.449079671,0.36935293,0.256307032,42.23967931
State House 54,1.652121001,-4.985990443,2.794487847,4.458340291,10.7578738,2.765583633,0.590232859,0.421126291,0.770754692,0.660115779,0.488729352,61.55454594
State House 39,-1.252722356,-11.55234097,0.438950935,7.746881561,18.08225539,5.796917802,0.343313697,0.422527964,0.425857295,0.280498493,0.291276763,37.96208915
State House 45,-2.985831912,-17.23372753,2.389494949,11.32145293,22.52348873,7.957382174,0.378972414,0.43100322,0.400793179,0.248432634,0.23287916,37.04458757
State House 48,14.38850309,0.895826956,14.72785909,14.2014685,21.69881475,2.792626487,0.745575872,1,0.364449927,0.355765683,0.334112481,61.25176041
State House 58,14.61567636,3.226906907,13.58995571,16.95210373,21.49572292,2.748528994,0.30043199,1,1,0.25627795,0.298470908,46.19386258
State House 20,2.394829612,-5.792520223,13.17689581,17.0822775,29.31976441,7.672466732,0.337812739,1,0.339492307,0.256905782,0.205422449,43.98427376
State House 15,3.491499542,-7.31397195,13.43087121,16.92743861,29.39124532,7.604090211,0.723784458,0.397615047,0.356899008,0.228478111,0.233131718,49.98358338
State House 60,16.4376522,7.975245024,17.47955914,21.44530013,26.41739388,3.342953847,0.262500674,0.952594638,0.335084619,0.230445753,0.248157149,58.52668672
